id,warehouse_id,unit_id,height_cm,height_mm,qty_liter,material_category
1,FTG1,FT173,146,1460,18829,FUEL
2,FTG1,FT173,145,1450,18725,FUEL
3,FTG1,FT173,144,1440,18607,FUEL
4,FTG1,FT173,143,1430,18489,FUEL
5,FTG1,FT173,142,1420,18371,FUEL
6,FTG1,FT173,141,1410,18253,FUEL
7,FTG1,FT173,140,1400,18135,FUEL
8,FTG1,FT173,139,1390,18006,FUEL
9,FTG1,FT173,138,1380,17877,FUEL
10,FTG1,FT173,137,1370,17748,FUEL
11,FTG1,FT173,136,1360,17619,FUEL
12,FTG1,FT173,135,1350,17490,FUEL
13,FTG1,FT173,134,1340,17354,FUEL
14,FTG1,FT173,133,1330,17220,FUEL
15,FTG1,FT173,132,1320,17086,FUEL
16,FTG1,FT173,131,1310,16952,FUEL
17,FTG1,FT173,130,1300,16818,FUEL
18,FTG1,FT173,129,1290,16680,FUEL
19,FTG1,FT173,128,1280,16542,FUEL
20,FTG1,FT173,127,1270,16404,FUEL
21,FTG1,FT173,126,1260,16266,FUEL
22,FTG1,FT173,125,1250,16128,FUEL
23,FTG1,FT173,124,1240,15991,FUEL
24,FTG1,FT173,123,1230,15851,FUEL
25,FTG1,FT173,122,1220,15711,FUEL
26,FTG1,FT173,121,1210,15571,FUEL
27,FTG1,FT173,120,1200,15431,FUEL
28,FTG1,FT173,119,1190,15290,FUEL
29,FTG1,FT173,118,1180,15150,FUEL
30,FTG1,FT173,117,1170,15010,FUEL
31,FTG1,FT173,116,1160,14870,FUEL
32,FTG1,FT173,115,1150,14730,FUEL
33,FTG1,FT173,114,1140,14589,FUEL
34,FTG1,FT173,113,1130,14449,FUEL
35,FTG1,FT173,112,1120,14309,FUEL
36,FTG1,FT173,111,1110,14169,FUEL
37,FTG1,FT173,110,1100,14029,FUEL
38,FTG1,FT173,109,1090,13888,FUEL
39,FTG1,FT173,108,1080,13748,FUEL
40,FTG1,FT173,107,1070,13608,FUEL
41,FTG1,FT173,106,1060,13468,FUEL
42,FTG1,FT173,105,1050,13328,FUEL
43,FTG1,FT173,104,1040,13187,FUEL
44,FTG1,FT173,103,1030,13047,FUEL
45,FTG1,FT173,102,1020,12907,FUEL
46,FTG1,FT173,101,1010,12767,FUEL
47,FTG1,FT173,100,1000,12627,FUEL
48,FTG1,FT173,99,990,12486,FUEL
49,FTG1,FT173,98,980,12346,FUEL
50,FTG1,FT173,97,970,12206,FUEL
51,FTG1,FT173,96,960,12066,FUEL
52,FTG1,FT173,95,950,11926,FUEL
53,FTG1,FT173,94,940,11785,FUEL
54,FTG1,FT173,93,930,11645,FUEL
55,FTG1,FT173,92,920,11505,FUEL
56,FTG1,FT173,91,910,11365,FUEL
57,FTG1,FT173,90,900,11225,FUEL
58,FTG1,FT173,89,890,11084,FUEL
59,FTG1,FT173,88,880,10944,FUEL
60,FTG1,FT173,87,870,10804,FUEL
61,FTG1,FT173,86,860,10664,FUEL
62,FTG1,FT173,85,850,10524,FUEL
63,FTG1,FT173,84,840,10383,FUEL
64,FTG1,FT173,83,830,10243,FUEL
65,FTG1,FT173,82,820,10103,FUEL
66,FTG1,FT173,81,810,9963,FUEL
67,FTG1,FT173,80,800,9823,FUEL
68,FTG1,FT173,79,790,9682,FUEL
69,FTG1,FT173,78,780,9542,FUEL
70,FTG1,FT173,77,770,9402,FUEL
71,FTG1,FT173,76,760,9262,FUEL
72,FTG1,FT173,75,750,9122,FUEL
73,FTG1,FT173,74,740,8981,FUEL
74,FTG1,FT173,73,730,8841,FUEL
75,FTG1,FT173,72,720,8701,FUEL
76,FTG1,FT173,71,710,8561,FUEL
77,FTG1,FT173,70,700,8421,FUEL
78,FTG1,FT173,69,690,8280,FUEL
79,FTG1,FT173,68,680,8140,FUEL
80,FTG1,FT173,67,670,8000,FUEL
81,FTG1,FT173,66,660,7860,FUEL
82,FTG1,FT173,65,650,7720,FUEL
83,FTG1,FT173,64,640,7579,FUEL
84,FTG1,FT173,63,630,7439,FUEL
85,FTG1,FT173,62,620,7299,FUEL
86,FTG1,FT173,61,610,7159,FUEL
87,FTG1,FT173,60,600,7019,FUEL
88,FTG1,FT173,59,590,6842,FUEL
89,FTG1,FT173,58,580,6711,FUEL
90,FTG1,FT173,57,570,6580,FUEL
91,FTG1,FT173,56,560,6458,FUEL
92,FTG1,FT173,55,550,6318,FUEL
93,FTG1,FT173,54,540,6141,FUEL
94,FTG1,FT173,53,530,6010,FUEL
95,FTG1,FT173,52,520,5879,FUEL
96,FTG1,FT173,51,510,5757,FUEL
97,FTG1,FT173,50,500,5617,FUEL
98,FTG1,FT173,49,490,5439,FUEL
99,FTG1,FT173,48,480,5308,FUEL
100,FTG1,FT173,47,470,5177,FUEL
101,FTG1,FT173,46,460,5055,FUEL
102,FTG1,FT173,45,450,4915,FUEL
103,FTG1,FT173,44,440,4776,FUEL
104,FTG1,FT173,43,430,4636,FUEL
105,FTG1,FT173,42,420,4496,FUEL
